Player,Pos,Squad,90s,Prog
Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,8.2,20
Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,0.5,4
Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,3.2,3
Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,9.6,18
Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,14.4,60
Reiss Nelson\Reiss-Nelson,FW,Arsenal,0.8,2
Pedro Neto\Pedro-Neto,FWMF,Wolves,21,32
Rúben Neves\Ruben-Neves,MF,Wolves,17.3,79
Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,3.6,1
Niels Nkounkou\Niels-Nkounkou,DF,Everton,0.8,1
Dan Nlundulu\Dan-Nlundulu,FWMF,Southampton,1,2
Mark Noble\Mark-Noble,MF,West Ham,3.2,10
Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,11.5,55
Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,2,6
Dara O'Shea\Dara-OShea,DF,West Brom,15.4,37
Michael Obafemi\Michael-Obafemi,FW,Southampton,0.2,0
Martin Ødegaard\Martin-Odegaard,MFDF,Arsenal,0.4,3
Denis Odoi\Denis-Odoi,DF,Fulham,3,10
Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,22.7,21
Robin Olsen\Robin-Olsen,GK,Everton,4,0
Josh Onomah\Josh-Onomah,MF,Fulham,1.6,3
Divock Origi\Divock-Origi,FW,Liverpool,2,1
Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,8.5,36
Owen Otasowie\Owen-Otasowie,MF,Wolves,1.3,1
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,MFFW,Liverpool,1.9,9
Emerson Palmieri\Emerson-Palmieri,DF,Chelsea,1,0
Thomas Partey\Thomas-Partey,MF,Arsenal,7.5,49
Rui Patrício\Rui-Patricio,GK,Wolves,23,0
Bailey Peacock-Farrell\Bailey-Peacock-Farrell,GK,Burnley,1,0
Lee Peltier\Lee-Peltier,DF,West Brom,2,2
Nicolas Pépé\Nicolas-Pepe,FWMF,Arsenal,9,17
Matheus Pereira\Matheus-Pereira,MFFW,West Brom,15.3,53
Ricardo Pereira\Ricardo-Pereira,DF,Leicester City,2.8,7
Ayoze Pérez\Ayoze-Perez,FWMF,Leicester City,9.6,35
Kalvin Phillips\Kalvin-Phillips,MF,Leeds United,17.5,75
Matt Phillips\Matt-Phillips,MFDF,West Brom,8.7,18
Nathaniel Phillips\Nathaniel-Phillips,DF,Liverpool,5.5,21
Jordan Pickford\Jordan-Pickford,GK,Everton,17,0
Erik Pieters\Erik-Pieters,DFMF,Burnley,10.4,21
Daniel Podence\Daniel-Podence,FWMF,Wolves,14.6,55
Paul Pogba\Paul-Pogba,MFFW,Manchester Utd,15,78
Nick Pope\Nick-Pope,GK,Burnley,21,0
Dennis Praet\Dennis-Praet,MFFW,Leicester City,7.3,18
Davy Pröpper\Davy-Propper,MF,Brighton,2.2,13
Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,10.7,39
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,23,0
